cell,scoring,shift,crps
ett1_15min_ot--chronos,normalized,23,0.15393683328656804
ett1_15min_ot--chronos,normalized,24,0.15394016176773268
ett1_15min_ot--chronos,normalized,25,0.15393964140372585
ett1_15min_ot--chronos,normalized,26,0.1539373551600162
ett1_15min_ot--chronos,normalized,27,0.15394207008059443
ett1_15min_ot--chronos,normalized,28,0.1539442767198729
ett1_15min_ot--chronos,normalized,29,0.15394109112998275
ett1_15min_ot--chronos,normalized,30,0.15394682837080265
ett1_15min_ot--chronos,normalized,31,0.15394500912889741
ett1_15min_ot--chronos,normalized,32,0.15394759459720647
ett1_15min_ot--chronos,normalized,33,0.15394490711263084
ett1_15min_ot--chronos,normalized,34,0.15392510104543128
ett1_15min_ot--chronos,normalized,35,0.15393216785553404
ett1_15min_ot--chronos,normalized,36,0.1539360388432307
ett1_15min_ot--chronos,normalized,37,0.15393835612176918
ett1_15min_ot--chronos,normalized,38,0.15394294835505232
ett1_15min_ot--chronos,normalized,39,0.1539471916542081
ett1_15min_ot--chronos,normalized,40,0.15394143571165883
ett1_15min_ot--chronos,normalized,41,0.1539378207122256
ett1_15min_ot--chronos,normalized,42,0.15393415831443447
ett1_15min_ot--chronos,normalized,43,0.15393322330728257
ett1_15min_ot--chronos,normalized,44,0.15392445027229734
ett1_15min_ot--chronos,normalized,45,0.1539273897754239
ett1_15min_ot--chronos,normalized,46,0.15392131471984652
ett1_15min_ot--chronos,normalized,47,0.15391180006514005
ett1_15min_ot--chronos,physical,0,0.35227844703591293
ett1_15min_ot--chronos,physical,1,0.35230552498272333
ett1_15min_ot--chronos,physical,2,0.352339149213181
ett1_15min_ot--chronos,physical,3,0.35242431475176855
ett1_15min_ot--chronos,physical,4,0.35243922368170494
ett1_15min_ot--chronos,physical,5,0.3524073690269298
ett1_15min_ot--chronos,physical,6,0.35238069357014334
ett1_15min_ot--chronos,physical,7,0.35244197383299
ett1_15min_ot--chronos,physical,8,0.3524363191117986
ett1_15min_ot--chronos,physical,9,0.3524462055023252
ett1_15min_ot--chronos,physical,10,0.3524520088263495
ett1_15min_ot--chronos,physical,11,0.35248727319717965
ett1_15min_ot--chronos,physical,12,0.35252520414691046
ett1_15min_ot--chronos,physical,13,0.3525257208796545
ett1_15min_ot--chronos,physical,14,0.3525470662840422
ett1_15min_ot--chronos,physical,15,0.3526353924835304
ett1_15min_ot--chronos,physical,16,0.3525939362569103
ett1_15min_ot--chronos,physical,17,0.352563744816595
ett1_15min_ot--chronos,physical,18,0.3525352279084001
ett1_15min_ot--chronos,physical,19,0.352523921209907
ett1_15min_ot--chronos,physical,20,0.3524851014273632
ett1_15min_ot--chronos,physical,21,0.3524913683276891
ett1_15min_ot--chronos,physical,22,0.3524935441196938
ett1_15min_ot--chronos,physical,23,0.352488910555219
ett1_15min_ot--chronos,physical,24,0.35249723346060297
ett1_15min_ot--chronos,physical,25,0.3525060900336665
ett1_15min_ot--chronos,physical,26,0.35248975505693403
ett1_15min_ot--chronos,physical,27,0.3524950062456471
ett1_15min_ot--chronos,physical,28,0.3524958153290273
ett1_15min_ot--chronos,physical,29,0.35249023171729804
ett1_15min_ot--chronos,physical,30,0.3524953006855298
ett1_15min_ot--chronos,physical,31,0.3524926207615092
ett1_15min_ot--chronos,physical,32,0.3524983522088549
ett1_15min_ot--chronos,physical,33,0.35249403465386847
ett1_15min_ot--chronos,physical,34,0.3524616251004898
ett1_15min_ot--chronos,physical,35,0.3524765871035805
ett1_15min_ot--chronos,physical,36,0.3524835672211956
ett1_15min_ot--chronos,physical,37,0.35249019655611324
ett1_15min_ot--chronos,physical,38,0.3524961025109555
ett1_15min_ot--chronos,physical,39,0.3525021154226349
ett1_15min_ot--chronos,physical,40,0.3524915926981174
ett1_15min_ot--chronos,physical,41,0.3524932130334555
ett1_15min_ot--chronos,physical,42,0.35247967913330863
ett1_15min_ot--chronos,physical,43,0.35246754870632946
ett1_15min_ot--chronos,physical,44,0.3524492791356272
ett1_15min_ot--chronos,physical,45,0.35247203249126835
ett1_15min_ot--chronos,physical,46,0.35244938047359453
ett1_15min_ot--chronos,physical,47,0.3524332475725758
ett1_15min_ot--flowstate,normalized,0,0.15440418314683227
ett1_15min_ot--flowstate,normalized,1,0.1544388937262196
ett1_15min_ot--flowstate,normalized,2,0.15446184346340944
ett1_15min_ot--flowstate,normalized,3,0.15452413469339396
ett1_15min_ot--flowstate,normalized,4,0.154537717089606
ett1_15min_ot--flowstate,normalized,5,0.15450847236373685
ett1_15min_ot--flowstate,normalized,6,0.15452066811352005
ett1_15min_ot--flowstate,normalized,7,0.1545811284465611
ett1_15min_ot--flowstate,normalized,8,0.15457879553734488
ett1_15min_ot--flowstate,normalized,9,0.15456186524536386
ett1_15min_ot--flowstate,normalized,10,0.15456133921438409
ett1_15min_ot--flowstate,normalized,11,0.1545742855173413
ett1_15min_ot--flowstate,normalized,12,0.15456786466163494
ett1_15min_ot--flowstate,normalized,13,0.154566866692713
ett1_15min_ot--flowstate,normalized,14,0.1545828427584342
ett1_15min_ot--flowstate,normalized,15,0.15457588913376524
ett1_15min_ot--flowstate,normalized,16,0.15458420099167475
ett1_15min_ot--flowstate,normalized,17,0.15457981094642767
ett1_15min_ot--flowstate,normalized,18,0.1545811696842421
ett1_15min_ot--flowstate,normalized,19,0.1545802777447191
ett1_15min_ot--flowstate,normalized,20,0.1545714072565441
ett1_15min_ot--flowstate,normalized,21,0.15456703575871877
ett1_15min_ot--flowstate,normalized,22,0.15456195566852052
ett1_15min_ot--flowstate,normalized,23,0.15455587285811295
ett1_15min_ot--flowstate,normalized,24,0.15453118764716162
ett1_15min_ot--flowstate,normalized,25,0.15456128469521438
ett1_15min_ot--flowstate,normalized,26,0.15455617994542617
ett1_15min_ot--flowstate,normalized,27,0.15455306254055187
ett1_15min_ot--flowstate,normalized,28,0.1545597508934709
ett1_15min_ot--flowstate,normalized,29,0.15454833890767927
ett1_15min_ot--flowstate,normalized,30,0.1545387701826532
ett1_15min_ot--flowstate,normalized,31,0.15454987093481723
ett1_15min_ot--flowstate,normalized,32,0.15456388520864123
ett1_15min_ot--flowstate,normalized,33,0.15456112840343508
ett1_15min_ot--flowstate,normalized,34,0.1545703215909562
ett1_15min_ot--flowstate,normalized,35,0.15458104158800648
ett1_15min_ot--flowstate,normalized,36,0.1545789954413377
