cell,group,metric,geometry,time,gain_percent
electricity_15min_load--flowstate,low,physical_is90,221.24726964178896,221.51396639598744,0.12039726367488734
ett1_15min_ot--chronos,low,physical_is90,3.3304602935568277,3.339365222570205,0.26666532169618007
ett1_15min_ot--flowstate,low,physical_is90,3.1679041479118832,3.1631750106570835,-0.14950602602976648
ett2_15min_ot--chronos,low,physical_is90,6.7750469238840445,6.800863498452071,0.3796073038946135
ett2_15min_ot--flowstate,low,physical_is90,5.278577336800451,5.2844325136744486,0.11080048536614706
jena_weather_10min_temperature--chronos,low,physical_is90,2.739520152650064,2.7359196015382268,-0.13160295755083595
jena_weather_10min_temperature--flowstate,low,physical_is90,2.144015554426583,2.1444218419977608,0.01894625223549662
loop_seattle_5min_speed--chronos,low,physical_is90,27.439567074787035,27.44100659138732,0.00524585931457322
loop_seattle_5min_speed--flowstate,low,physical_is90,24.189180999572816,24.15592138198275,-0.1376872240314242
solar_10min_power--chronos,low,physical_is90,5.939451236700979,5.955589159879137,0.27097106171920515
solar_10min_power--flowstate,low,physical_is90,1.5935671528223088,1.5935582502789982,-0.0005586581669714263
electricity_15min_load--chronos,low,original_crps,738.56175176852,736.6603386552966,-0.25811259456349767
electricity_15min_load--flowstate,low,original_crps,820.7453900054621,820.7486245595745,0.0003940980241257108
ett1_15min_ot--chronos,low,original_crps,0.18343664839413076,0.183509134029633,0.03949974255261779
ett1_15min_ot--flowstate,low,original_crps,0.1760086033580218,0.17599011260785302,-0.010506698299561634
ett2_15min_ot--chronos,low,original_crps,0.13488062499314088,0.13481526225909699,-0.04848318576740063
ett2_15min_ot--flowstate,low,original_crps,0.10772315253307248,0.10768807290672791,-0.03257521970418953
jena_weather_10min_temperature--chronos,low,original_crps,0.10675295028325556,0.1066027819353732,-0.14086719422894411
jena_weather_10min_temperature--flowstate,low,original_crps,0.09178843069847642,0.09178777063293841,-0.0007191214400847912
loop_seattle_5min_speed--chronos,low,original_crps,0.37819075299374894,0.3782484313569681,0.015248804340639577
loop_seattle_5min_speed--flowstate,low,original_crps,0.3222384549104107,0.3222338001720589,-0.0014445220673175996
solar_10min_power--chronos,low,original_crps,0.09395241508425811,0.09409763691204606,0.15433100400139566
solar_10min_power--flowstate,low,original_crps,0.033301646083197314,0.03330166504798734,5.6948473881046624e-05
electricity_15min_load--chronos,low,original_is90,8739.345008440621,8535.418122073737,-2.389184495127439
electricity_15min_load--flowstate,low,original_is90,10630.037295255643,10633.22682166584,0.029995846638930512
ett1_15min_ot--chronos,low,original_is90,1.6770632159178473,1.6832744031566762,0.368994337891726
ett1_15min_ot--flowstate,low,original_is90,1.5987588966735575,1.59489094043424,-0.24252167601281904
ett2_15min_ot--chronos,low,original_is90,1.4095219584847287,1.411758878907285,0.15844918392067253
ett2_15min_ot--flowstate,low,original_is90,1.041745223135811,1.0425392254776429,0.07616042854100558
jena_weather_10min_temperature--chronos,low,original_is90,1.018536660777628,1.0193762311947745,0.0823611922128542
jena_weather_10min_temperature--flowstate,low,original_is90,0.8026304151501533,0.802852527590197,0.027665409575328148
loop_seattle_5min_speed--chronos,low,original_is90,3.8992369864677507,3.8989918730840403,-0.006286583601333717
loop_seattle_5min_speed--flowstate,low,original_is90,3.1225189862860288,3.1190482995272926,-0.11127390233944823
solar_10min_power--chronos,low,original_is90,1.146822406294762,1.1499914646145601,0.2755723339964322
solar_10min_power--flowstate,low,original_is90,0.35426351636783854,0.3542644025922749,0.0002501590421921662
electricity_15min_load--chronos,middle,bounded_crps,0.11280473305379501,0.11285568180385969,0.04514504653228002
electricity_15min_load--flowstate,middle,bounded_crps,0.11675344410929445,0.1168296091837441,0.06519329730005907
ett1_15min_ot--chronos,middle,bounded_crps,0.15014836448064414,0.1501833918359971,0.023323055182566943
ett1_15min_ot--flowstate,middle,bounded_crps,0.1467394915991126,0.14675306718324946,0.0092506305983453
ett2_15min_ot--chronos,middle,bounded_crps,0.08595128163523835,0.08598971546436385,0.04469584405291105
ett2_15min_ot--flowstate,middle,bounded_crps,0.08613290386705098,0.08597360678604166,-0.1852860278454438
jena_weather_10min_temperature--chronos,middle,bounded_crps,0.09622308861136929,0.09646213872725778,0.24781755727436572
jena_weather_10min_temperature--flowstate,middle,bounded_crps,0.08796957759134,0.08808110732614677,0.12662163112209246
loop_seattle_5min_speed--chronos,middle,bounded_crps,0.3820337238116025,0.3820454673417196,0.003073856679636222
loop_seattle_5min_speed--flowstate,middle,bounded_crps,0.3189931101428056,0.31898554269073043,-0.002372349546431174
solar_10min_power--chronos,middle,bounded_crps,0.09456060564286273,0.09442123587001154,-0.1476042667383215
solar_10min_power--flowstate,middle,bounded_crps,0.10113492910424263,0.1011243310434996,-0.01048022828300521
electricity_15min_load--chronos,middle,physical_crps,25.295124547666745,25.31024141268639,0.059726277490457225
electricity_15min_load--flowstate,middle,physical_crps,27.277442138035653,27.312694095279962,0.1290680337916572
ett1_15min_ot--chronos,middle,physical_crps,0.34966571467688157,0.34967966946022166,0.003990733393688384
ett1_15min_ot--flowstate,middle,physical_crps,0.34772555186457155,0.34773088706043975,0.0015342887464853128
ett2_15min_ot--chronos,middle,physical_crps,0.5277478147682502,0.5284231228187982,0.12779683957540033
ett2_15min_ot--flowstate,middle,physical_crps,0.5270875870090397,0.5261835516486125,-0.17180988603591185
jena_weather_10min_temperature--chronos,middle,physical_crps,0.3656481893451652,0.36644903119066696,0.21854112777967005
jena_weather_10min_temperature--flowstate,middle,physical_crps,0.30818275753169,0.3085604809398498,0.12241470683778122
loop_seattle_5min_speed--chronos,middle,physical_crps,3.040141727315186,3.040125429709083,-0.000536083345226146
loop_seattle_5min_speed--flowstate,middle,physical_crps,2.538473193397351,2.538541038341845,0.002672595930874877
